Series ID,Year,Period,Label,Value
LNS14000003,1960,M10,1960 Oct,5.5
LNS14000003,1960,M11,1960 Nov,5.5
LNS14000003,1960,M12,1960 Dec,5.9
LNS14000003,1961,M01,1961 Jan,5.9
LNS14000003,1961,M02,1961 Feb,6.2
LNS14000003,1961,M03,1961 Mar,6.2
LNS14000003,1961,M04,1961 Apr,6.2
LNS14000003,1961,M05,1961 May,6.3
LNS14000003,1961,M06,1961 Jun,6.2
LNS14000003,1961,M07,1961 Jul,6.3
LNS14000003,1961,M08,1961 Aug,5.9
LNS14000003,1961,M09,1961 Sep,5.9
LNS14000003,1961,M10,1961 Oct,5.7
LNS14000003,1961,M11,1961 Nov,5.4
LNS14000003,1961,M12,1961 Dec,5.3
LNS14000003,1962,M01,1962 Jan,5.1
LNS14000003,1962,M02,1962 Feb,4.8
LNS14000003,1962,M03,1962 Mar,4.8
LNS14000003,1962,M04,1962 Apr,4.7
LNS14000003,1962,M05,1962 May,4.8
LNS14000003,1962,M06,1962 Jun,4.8
LNS14000003,1962,M07,1962 Jul,4.8
LNS14000003,1962,M08,1962 Aug,5.0
LNS14000003,1962,M09,1962 Sep,5.0
LNS14000003,1962,M10,1962 Oct,4.8
LNS14000003,1962,M11,1962 Nov,5.0
LNS14000003,1962,M12,1962 Dec,4.8
LNS14000003,1963,M01,1963 Jan,5.0
LNS14000003,1963,M02,1963 Feb,5.3
LNS14000003,1963,M03,1963 Mar,5.0
LNS14000003,1963,M04,1963 Apr,5.1
LNS14000003,1963,M05,1963 May,5.2
LNS14000003,1963,M06,1963 Jun,4.9
LNS14000003,1963,M07,1963 Jul,5.1
LNS14000003,1963,M08,1963 Aug,4.8
LNS14000003,1963,M09,1963 Sep,4.8
LNS14000003,1963,M10,1963 Oct,4.8
LNS14000003,1963,M11,1963 Nov,5.0
LNS14000003,1963,M12,1963 Dec,5.0
LNS14000003,1964,M01,1964 Jan,5.0
LNS14000003,1964,M02,1964 Feb,4.9
LNS14000003,1964,M03,1964 Mar,4.9
LNS14000003,1964,M04,1964 Apr,4.8
LNS14000003,1964,M05,1964 May,4.5
LNS14000003,1964,M06,1964 Jun,4.7
LNS14000003,1964,M07,1964 Jul,4.3
LNS14000003,1964,M08,1964 Aug,4.4
LNS14000003,1964,M09,1964 Sep,4.5
LNS14000003,1964,M10,1964 Oct,4.6
LNS14000003,1964,M11,1964 Nov,4.3
LNS14000003,1964,M12,1964 Dec,4.5
LNS14000003,1965,M01,1965 Jan,4.3
LNS14000003,1965,M02,1965 Feb,4.5
LNS14000003,1965,M03,1965 Mar,4.3
LNS14000003,1965,M04,1965 Apr,4.4
LNS14000003,1965,M05,1965 May,4.2
LNS14000003,1965,M06,1965 Jun,4.2
LNS14000003,1965,M07,1965 Jul,3.9
LNS14000003,1965,M08,1965 Aug,4.0
LNS14000003,1965,M09,1965 Sep,3.8
LNS14000003,1965,M10,1965 Oct,3.8
LNS14000003,1965,M11,1965 Nov,3.7
LNS14000003,1965,M12,1965 Dec,3.6
LNS14000003,1966,M01,1966 Jan,3.5
LNS14000003,1966,M02,1966 Feb,3.4
LNS14000003,1966,M03,1966 Mar,3.4
LNS14000003,1966,M04,1966 Apr,3.3
LNS14000003,1966,M05,1966 May,3.5
LNS14000003,1966,M06,1966 Jun,3.4
LNS14000003,1966,M07,1966 Jul,3.3
LNS14000003,1966,M08,1966 Aug,3.3
LNS14000003,1966,M09,1966 Sep,3.2
LNS14000003,1966,M10,1966 Oct,3.3
LNS14000003,1966,M11,1966 Nov,3.2
LNS14000003,1966,M12,1966 Dec,3.3
LNS14000003,1967,M01,1967 Jan,3.4
LNS14000003,1967,M02,1967 Feb,3.3
LNS14000003,1967,M03,1967 Mar,3.3
LNS14000003,1967,M04,1967 Apr,3.4
LNS14000003,1967,M05,1967 May,3.3
LNS14000003,1967,M06,1967 Jun,3.5
LNS14000003,1967,M07,1967 Jul,3.3
LNS14000003,1967,M08,1967 Aug,3.4
LNS14000003,1967,M09,1967 Sep,3.3
LNS14000003,1967,M10,1967 Oct,3.5
LNS14000003,1967,M11,1967 Nov,3.5
LNS14000003,1967,M12,1967 Dec,3.4
LNS14000003,1968,M01,1968 Jan,3.3
LNS14000003,1968,M02,1968 Feb,3.4
LNS14000003,1968,M03,1968 Mar,3.2
LNS14000003,1968,M04,1968 Apr,3.1
LNS14000003,1968,M05,1968 May,3.1
LNS14000003,1968,M06,1968 Jun,3.4
LNS14000003,1968,M07,1968 Jul,3.2
LNS14000003,1968,M08,1968 Aug,3.2
LNS14000003,1968,M09,1968 Sep,3.1
LNS14000003,1968,M10,1968 Oct,3.0
LNS14000003,1968,M11,1968 Nov,3.0
LNS14000003,1968,M12,1968 Dec,3.0
LNS14000003,1969,M01,1969 Jan,3.0
LNS14000003,1969,M02,1969 Feb,3.0
LNS14000003,1969,M03,1969 Mar,3.0
LNS14000003,1969,M04,1969 Apr,3.0
LNS14000003,1969,M05,1969 May,3.0
LNS14000003,1969,M06,1969 Jun,3.1
LNS14000003,1969,M07,1969 Jul,3.2
LNS14000003,1969,M08,1969 Aug,3.1
LNS14000003,1969,M09,1969 Sep,3.4
LNS14000003,1969,M10,1969 Oct,3.4
LNS14000003,1969,M11,1969 Nov,3.2
LNS14000003,1969,M12,1969 Dec,3.3
LNS14000003,1970,M01,1970 Jan,3.6
LNS14000003,1970,M02,1970 Feb,3.8
LNS14000003,1970,M03,1970 Mar,4.0
LNS14000003,1970,M04,1970 Apr,4.1
LNS14000003,1970,M05,1970 May,4.4
LNS14000003,1970,M06,1970 Jun,4.5
LNS14000003,1970,M07,1970 Jul,4.6
LNS14000003,1970,M08,1970 Aug,4.7
LNS14000003,1970,M09,1970 Sep,5.0
LNS14000003,1970,M10,1970 Oct,5.2
LNS14000003,1970,M11,1970 Nov,5.4
LNS14000003,1970,M12,1970 Dec,5.6
LNS14000003,1971,M01,1971 Jan,5.5
LNS14000003,1971,M02,1971 Feb,5.3
LNS14000003,1971,M03,1971 Mar,5.5
LNS14000003,1971,M04,1971 Apr,5.4
LNS14000003,1971,M05,1971 May,5.4
LNS14000003,1971,M06,1971 Jun,5.5
LNS14000003,1971,M07,1971 Jul,5.5
LNS14000003,1971,M08,1971 Aug,5.6
LNS14000003,1971,M09,1971 Sep,5.4
LNS14000003,1971,M10,1971 Oct,5.4
LNS14000003,1971,M11,1971 Nov,5.6
LNS14000003,1971,M12,1971 Dec,5.4
LNS14000003,1972,M01,1972 Jan,5.2
LNS14000003,1972,M02,1972 Feb,5.1
LNS14000003,1972,M03,1972 Mar,5.2
LNS14000003,1972,M04,1972 Apr,5.3
LNS14000003,1972,M05,1972 May,5.1
LNS14000003,1972,M06,1972 Jun,5.1
LNS14000003,1972,M07,1972 Jul,5.1
LNS14000003,1972,M08,1972 Aug,5.1
LNS14000003,1972,M09,1972 Sep,5.0
LNS14000003,1972,M10,1972 Oct,5.1
LNS14000003,1972,M11,1972 Nov,4.7
LNS14000003,1972,M12,1972 Dec,4.6
LNS14000003,1973,M01,1973 Jan,4.5
LNS14000003,1973,M02,1973 Feb,4.5
LNS14000003,1973,M03,1973 Mar,4.4
LNS14000003,1973,M04,1973 Apr,4.5
LNS14000003,1973,M05,1973 May,4.3
LNS14000003,1973,M06,1973 Jun,4.3
LNS14000003,1973,M07,1973 Jul,4.2
LNS14000003,1973,M08,1973 Aug,4.3
LNS14000003,1973,M09,1973 Sep,4.3
LNS14000003,1973,M10,1973 Oct,4.1
LNS14000003,1973,M11,1973 Nov,4.3
LNS14000003,1973,M12,1973 Dec,4.4
LNS14000003,1974,M01,1974 Jan,4.6
LNS14000003,1974,M02,1974 Feb,4.6
LNS14000003,1974,M03,1974 Mar,4.5
LNS14000003,1974,M04,1974 Apr,4.5
LNS14000003,1974,M05,1974 May,4.6
LNS14000003,1974,M06,1974 Jun,4.8
LNS14000003,1974,M07,1974 Jul,4.9
LNS14000003,1974,M08,1974 Aug,5.0
LNS14000003,1974,M09,1974 Sep,5.4
LNS14000003,1974,M10,1974 Oct,5.4
LNS14000003,1974,M11,1974 Nov,6.0
LNS14000003,1974,M12,1974 Dec,6.4
LNS14000003,1975,M01,1975 Jan,7.4
LNS14000003,1975,M02,1975 Feb,7.4
LNS14000003,1975,M03,1975 Mar,7.8
LNS14000003,1975,M04,1975 Apr,8.0
LNS14000003,1975,M05,1975 May,8.4
LNS14000003,1975,M06,1975 Jun,8.1
LNS14000003,1975,M07,1975 Jul,8.0
LNS14000003,1975,M08,1975 Aug,7.7
LNS14000003,1975,M09,1975 Sep,7.7
LNS14000003,1975,M10,1975 Oct,7.7
LNS14000003,1975,M11,1975 Nov,7.6
LNS14000003,1975,M12,1975 Dec,7.4
LNS14000003,1976,M01,1976 Jan,7.2
LNS14000003,1976,M02,1976 Feb,6.9
LNS14000003,1976,M03,1976 Mar,6.9
LNS14000003,1976,M04,1976 Apr,6.9
LNS14000003,1976,M05,1976 May,6.7
LNS14000003,1976,M06,1976 Jun,6.9
LNS14000003,1976,M07,1976 Jul,7.1
LNS14000003,1976,M08,1976 Aug,7.1
LNS14000003,1976,M09,1976 Sep,7.0
LNS14000003,1976,M10,1976 Oct,7.0
LNS14000003,1976,M11,1976 Nov,7.1
LNS14000003,1976,M12,1976 Dec,7.0
LNS14000003,1977,M01,1977 Jan,6.8
LNS14000003,1977,M02,1977 Feb,6.9
LNS14000003,1977,M03,1977 Mar,6.7
LNS14000003,1977,M04,1977 Apr,6.4
LNS14000003,1977,M05,1977 May,6.3
LNS14000003,1977,M06,1977 Jun,6.4
LNS14000003,1977,M07,1977 Jul,6.0
LNS14000003,1977,M08,1977 Aug,6.0
LNS14000003,1977,M09,1977 Sep,6.0
LNS14000003,1977,M10,1977 Oct,5.9
LNS14000003,1977,M11,1977 Nov,5.8
LNS14000003,1977,M12,1977 Dec,5.5
LNS14000003,1978,M01,1978 Jan,5.5
LNS14000003,1978,M02,1978 Feb,5.5
LNS14000003,1978,M03,1978 Mar,5.4
LNS14000003,1978,M04,1978 Apr,5.3
LNS14000003,1978,M05,1978 May,5.2
LNS14000003,1978,M06,1978 Jun,5.0
LNS14000003,1978,M07,1978 Jul,5.3
LNS14000003,1978,M08,1978 Aug,5.1
LNS14000003,1978,M09,1978 Sep,5.2
LNS14000003,1978,M10,1978 Oct,5.0
LNS14000003,1978,M11,1978 Nov,5.0
LNS14000003,1978,M12,1978 Dec,5.2
LNS14000003,1979,M01,1979 Jan,5.1
LNS14000003,1979,M02,1979 Feb,5.1
LNS14000003,1979,M03,1979 Mar,5.1
LNS14000003,1979,M04,1979 Apr,5.0
LNS14000003,1979,M05,1979 May,4.8
LNS14000003,1979,M06,1979 Jun,4.9
LNS14000003,1979,M07,1979 Jul,4.9
LNS14000003,1979,M08,1979 Aug,5.3
LNS14000003,1979,M09,1979 Sep,5.2
LNS14000003,1979,M10,1979 Oct,5.2
LNS14000003,1979,M11,1979 Nov,5.2
LNS14000003,1979,M12,1979 Dec,5.2
LNS14000003,1980,M01,1980 Jan,5.5
LNS14000003,1980,M02,1980 Feb,5.5
LNS14000003,1980,M03,1980 Mar,5.6
LNS14000003,1980,M04,1980 Apr,6.1
LNS14000003,1980,M05,1980 May,6.6
LNS14000003,1980,M06,1980 Jun,6.7
LNS14000003,1980,M07,1980 Jul,6.9
LNS14000003,1980,M08,1980 Aug,6.9
LNS14000003,1980,M09,1980 Sep,6.6
LNS14000003,1980,M10,1980 Oct,6.6
LNS14000003,1980,M11,1980 Nov,6.5
LNS14000003,1980,M12,1980 Dec,6.3
LNS14000003,1981,M01,1981 Jan,6.7
LNS14000003,1981,M02,1981 Feb,6.6
LNS14000003,1981,M03,1981 Mar,6.5
LNS14000003,1981,M04,1981 Apr,6.4
LNS14000003,1981,M05,1981 May,6.6
LNS14000003,1981,M06,1981 Jun,6.5
LNS14000003,1981,M07,1981 Jul,6.3
LNS14000003,1981,M08,1981 Aug,6.3
LNS14000003,1981,M09,1981 Sep,6.6
LNS14000003,1981,M10,1981 Oct,6.9
LNS14000003,1981,M11,1981 Nov,7.3
LNS14000003,1981,M12,1981 Dec,7.5
LNS14000003,1982,M01,1982 Jan,7.6
LNS14000003,1982,M02,1982 Feb,7.8
LNS14000003,1982,M03,1982 Mar,8.0
LNS14000003,1982,M04,1982 Apr,8.3
LNS14000003,1982,M05,1982 May,8.2
LNS14000003,1982,M06,1982 Jun,8.5
LNS14000003,1982,M07,1982 Jul,8.7
LNS14000003,1982,M08,1982 Aug,8.7
LNS14000003,1982,M09,1982 Sep,9.0
LNS14000003,1982,M10,1982 Oct,9.2
LNS14000003,1982,M11,1982 Nov,9.6
LNS14000003,1982,M12,1982 Dec,9.7
LNS14000003,1983,M01,1983 Jan,9.1
LNS14000003,1983,M02,1983 Feb,9.3
LNS14000003,1983,M03,1983 Mar,9.1
LNS14000003,1983,M04,1983 Apr,8.9
LNS14000003,1983,M05,1983 May,8.8
LNS14000003,1983,M06,1983 Jun,8.7
LNS14000003,1983,M07,1983 Jul,8.2
LNS14000003,1983,M08,1983 Aug,8.2
LNS14000003,1983,M09,1983 Sep,8.0
LNS14000003,1983,M10,1983 Oct,7.7
LNS14000003,1983,M11,1983 Nov,7.4
LNS14000003,1983,M12,1983 Dec,7.1
LNS14000003,1984,M01,1984 Jan,6.9
LNS14000003,1984,M02,1984 Feb,6.8
LNS14000003,1984,M03,1984 Mar,6.7
LNS14000003,1984,M04,1984 Apr,6.7
LNS14000003,1984,M05,1984 May,6.4
LNS14000003,1984,M06,1984 Jun,6.2
LNS14000003,1984,M07,1984 Jul,6.3
LNS14000003,1984,M08,1984 Aug,6.4
LNS14000003,1984,M09,1984 Sep,6.4
LNS14000003,1984,M10,1984 Oct,6.3
LNS14000003,1984,M11,1984 Nov,6.2
LNS14000003,1984,M12,1984 Dec,6.3
LNS14000003,1985,M01,1985 Jan,6.3
LNS14000003,1985,M02,1985 Feb,6.2
LNS14000003,1985,M03,1985 Mar,6.2
LNS14000003,1985,M04,1985 Apr,6.3
LNS14000003,1985,M05,1985 May,6.2
LNS14000003,1985,M06,1985 Jun,6.5
LNS14000003,1985,M07,1985 Jul,6.4
LNS14000003,1985,M08,1985 Aug,6.2
LNS14000003,1985,M09,1985 Sep,6.1
LNS14000003,1985,M10,1985 Oct,6.1
LNS14000003,1985,M11,1985 Nov,5.9
LNS14000003,1985,M12,1985 Dec,6.0
LNS14000003,1986,M01,1986 Jan,5.7
LNS14000003,1986,M02,1986 Feb,6.3
LNS14000003,1986,M03,1986 Mar,6.2
LNS14000003,1986,M04,1986 Apr,6.1
LNS14000003,1986,M05,1986 May,6.2
LNS14000003,1986,M06,1986 Jun,6.2
LNS14000003,1986,M07,1986 Jul,6.1
LNS14000003,1986,M08,1986 Aug,5.9
LNS14000003,1986,M09,1986 Sep,6.0
LNS14000003,1986,M10,1986 Oct,6.0
LNS14000003,1986,M11,1986 Nov,6.0
LNS14000003,1986,M12,1986 Dec,5.8
LNS14000003,1987,M01,1987 Jan,5.7
LNS14000003,1987,M02,1987 Feb,5.7
LNS14000003,1987,M03,1987 Mar,5.7
LNS14000003,1987,M04,1987 Apr,5.4
LNS14000003,1987,M05,1987 May,5.4
LNS14000003,1987,M06,1987 Jun,5.4
LNS14000003,1987,M07,1987 Jul,5.2
LNS14000003,1987,M08,1987 Aug,5.1
LNS14000003,1987,M09,1987 Sep,5.1
LNS14000003,1987,M10,1987 Oct,5.2
LNS14000003,1987,M11,1987 Nov,5.0
LNS14000003,1987,M12,1987 Dec,4.9
LNS14000003,1988,M01,1988 Jan,5.0
LNS14000003,1988,M02,1988 Feb,4.9
LNS14000003,1988,M03,1988 Mar,4.8
LNS14000003,1988,M04,1988 Apr,4.6
LNS14000003,1988,M05,1988 May,4.7
LNS14000003,1988,M06,1988 Jun,4.6
LNS14000003,1988,M07,1988 Jul,4.7
LNS14000003,1988,M08,1988 Aug,4.8
LNS14000003,1988,M09,1988 Sep,4.8
LNS14000003,1988,M10,1988 Oct,4.7
LNS14000003,1988,M11,1988 Nov,4.6
LNS14000003,1988,M12,1988 Dec,4.6
LNS14000003,1989,M01,1989 Jan,4.6
LNS14000003,1989,M02,1989 Feb,4.3
LNS14000003,1989,M03,1989 Mar,4.2
LNS14000003,1989,M04,1989 Apr,4.5
LNS14000003,1989,M05,1989 May,4.4
LNS14000003,1989,M06,1989 Jun,4.5
LNS14000003,1989,M07,1989 Jul,4.5
LNS14000003,1989,M08,1989 Aug,4.5
LNS14000003,1989,M09,1989 Sep,4.5
LNS14000003,1989,M10,1989 Oct,4.5
LNS14000003,1989,M11,1989 Nov,4.6
LNS14000003,1989,M12,1989 Dec,4.6
LNS14000003,1990,M01,1990 Jan,4.6
LNS14000003,1990,M02,1990 Feb,4.6
LNS14000003,1990,M03,1990 Mar,4.5
LNS14000003,1990,M04,1990 Apr,4.7
LNS14000003,1990,M05,1990 May,4.6
LNS14000003,1990,M06,1990 Jun,4.5
LNS14000003,1990,M07,1990 Jul,4.7
LNS14000003,1990,M08,1990 Aug,4.9
LNS14000003,1990,M09,1990 Sep,5.0
LNS14000003,1990,M10,1990 Oct,5.1
LNS14000003,1990,M11,1990 Nov,5.3
LNS14000003,1990,M12,1990 Dec,5.4
LNS14000003,1991,M01,1991 Jan,5.6
LNS14000003,1991,M02,1991 Feb,5.8
LNS14000003,1991,M03,1991 Mar,6.0
LNS14000003,1991,M04,1991 Apr,5.9
LNS14000003,1991,M05,1991 May,6.1
LNS14000003,1991,M06,1991 Jun,6.2
LNS14000003,1991,M07,1991 Jul,6.2
LNS14000003,1991,M08,1991 Aug,6.2
LNS14000003,1991,M09,1991 Sep,6.2
LNS14000003,1991,M10,1991 Oct,6.2
LNS14000003,1991,M11,1991 Nov,6.3
LNS14000003,1991,M12,1991 Dec,6.5
LNS14000003,1992,M01,1992 Jan,6.4
LNS14000003,1992,M02,1992 Feb,6.5
LNS14000003,1992,M03,1992 Mar,6.5
LNS14000003,1992,M04,1992 Apr,6.5
LNS14000003,1992,M05,1992 May,6.6
LNS14000003,1992,M06,1992 Jun,6.9
LNS14000003,1992,M07,1992 Jul,6.7
LNS14000003,1992,M08,1992 Aug,6.7
LNS14000003,1992,M09,1992 Sep,6.7
LNS14000003,1992,M10,1992 Oct,6.5
LNS14000003,1992,M11,1992 Nov,6.5
LNS14000003,1992,M12,1992 Dec,6.5
LNS14000003,1993,M01,1993 Jan,6.3
LNS14000003,1993,M02,1993 Feb,6.2
LNS14000003,1993,M03,1993 Mar,6.1
LNS14000003,1993,M04,1993 Apr,6.1
LNS14000003,1993,M05,1993 May,6.2
LNS14000003,1993,M06,1993 Jun,6.2
LNS14000003,1993,M07,1993 Jul,6.1
LNS14000003,1993,M08,1993 Aug,6.0
LNS14000003,1993,M09,1993 Sep,5.9
LNS14000003,1993,M10,1993 Oct,6.2
LNS14000003,1993,M11,1993 Nov,5.7
LNS14000003,1993,M12,1993 Dec,5.8
LNS14000003,1994,M01,1994 Jan,5.7
LNS14000003,1994,M02,1994 Feb,5.7
LNS14000003,1994,M03,1994 Mar,5.7
LNS14000003,1994,M04,1994 Apr,5.6
LNS14000003,1994,M05,1994 May,5.2
LNS14000003,1994,M06,1994 Jun,5.3
LNS14000003,1994,M07,1994 Jul,5.3
LNS14000003,1994,M08,1994 Aug,5.2
LNS14000003,1994,M09,1994 Sep,5.1
LNS14000003,1994,M10,1994 Oct,5.0
LNS14000003,1994,M11,1994 Nov,4.8
LNS14000003,1994,M12,1994 Dec,4.8
LNS14000003,1995,M01,1995 Jan,4.8
LNS14000003,1995,M02,1995 Feb,4.7
LNS14000003,1995,M03,1995 Mar,4.7
LNS14000003,1995,M04,1995 Apr,5.0
LNS14000003,1995,M05,1995 May,5.0
LNS14000003,1995,M06,1995 Jun,4.9
LNS14000003,1995,M07,1995 Jul,4.9
LNS14000003,1995,M08,1995 Aug,4.9
LNS14000003,1995,M09,1995 Sep,4.9
LNS14000003,1995,M10,1995 Oct,4.9
LNS14000003,1995,M11,1995 Nov,5.0
LNS14000003,1995,M12,1995 Dec,4.9
LNS14000003,1996,M01,1996 Jan,4.9
LNS14000003,1996,M02,1996 Feb,4.8
LNS14000003,1996,M03,1996 Mar,4.8
LNS14000003,1996,M04,1996 Apr,4.8
LNS14000003,1996,M05,1996 May,4.9
LNS14000003,1996,M06,1996 Jun,4.6
LNS14000003,1996,M07,1996 Jul,4.7
LNS14000003,1996,M08,1996 Aug,4.4
LNS14000003,1996,M09,1996 Sep,4.5
LNS14000003,1996,M10,1996 Oct,4.5
LNS14000003,1996,M11,1996 Nov,4.6
LNS14000003,1996,M12,1996 Dec,4.6
LNS14000003,1997,M01,1997 Jan,4.5
LNS14000003,1997,M02,1997 Feb,4.5
LNS14000003,1997,M03,1997 Mar,4.4
LNS14000003,1997,M04,1997 Apr,4.3
LNS14000003,1997,M05,1997 May,4.1
LNS14000003,1997,M06,1997 Jun,4.2
LNS14000003,1997,M07,1997 Jul,4.2
LNS14000003,1997,M08,1997 Aug,4.2
LNS14000003,1997,M09,1997 Sep,4.2
LNS14000003,1997,M10,1997 Oct,4.1
LNS14000003,1997,M11,1997 Nov,3.9
LNS14000003,1997,M12,1997 Dec,3.9
LNS14000003,1998,M01,1998 Jan,4.0
LNS14000003,1998,M02,1998 Feb,3.9
LNS14000003,1998,M03,1998 Mar,4.0
LNS14000003,1998,M04,1998 Apr,3.7
LNS14000003,1998,M05,1998 May,3.8
LNS14000003,1998,M06,1998 Jun,3.9
LNS14000003,1998,M07,1998 Jul,3.8
LNS14000003,1998,M08,1998 Aug,3.9
LNS14000003,1998,M09,1998 Sep,3.9
LNS14000003,1998,M10,1998 Oct,3.9
LNS14000003,1998,M11,1998 Nov,3.8
LNS14000003,1998,M12,1998 Dec,3.8
LNS14000003,1999,M01,1999 Jan,3.8
LNS14000003,1999,M02,1999 Feb,3.8
LNS14000003,1999,M03,1999 Mar,3.6
LNS14000003,1999,M04,1999 Apr,3.8
LNS14000003,1999,M05,1999 May,3.7
LNS14000003,1999,M06,1999 Jun,3.8
LNS14000003,1999,M07,1999 Jul,3.7
LNS14000003,1999,M08,1999 Aug,3.7
LNS14000003,1999,M09,1999 Sep,3.6
LNS14000003,1999,M10,1999 Oct,3.5
LNS14000003,1999,M11,1999 Nov,3.5
LNS14000003,1999,M12,1999 Dec,3.5
LNS14000003,2000,M01,2000 Jan,3.4
LNS14000003,2000,M02,2000 Feb,3.6
LNS14000003,2000,M03,2000 Mar,3.5
LNS14000003,2000,M04,2000 Apr,3.4
LNS14000003,2000,M05,2000 May,3.5
LNS14000003,2000,M06,2000 Jun,3.4
LNS14000003,2000,M07,2000 Jul,3.5
LNS14000003,2000,M08,2000 Aug,3.6
LNS14000003,2000,M09,2000 Sep,3.5
LNS14000003,2000,M10,2000 Oct,3.4
LNS14000003,2000,M11,2000 Nov,3.5
LNS14000003,2000,M12,2000 Dec,3.5
LNS14000003,2001,M01,2001 Jan,3.6
LNS14000003,2001,M02,2001 Feb,3.7
LNS14000003,2001,M03,2001 Mar,3.7
LNS14000003,2001,M04,2001 Apr,3.9
LNS14000003,2001,M05,2001 May,3.8
LNS14000003,2001,M06,2001 Jun,4.0
LNS14000003,2001,M07,2001 Jul,4.0
LNS14000003,2001,M08,2001 Aug,4.3
LNS14000003,2001,M09,2001 Sep,4.3
LNS14000003,2001,M10,2001 Oct,4.7
LNS14000003,2001,M11,2001 Nov,4.9
LNS14000003,2001,M12,2001 Dec,5.1
LNS14000003,2002,M01,2002 Jan,5.1
LNS14000003,2002,M02,2002 Feb,5.0
LNS14000003,2002,M03,2002 Mar,5.0
LNS14000003,2002,M04,2002 Apr,5.2
LNS14000003,2002,M05,2002 May,5.1
LNS14000003,2002,M06,2002 Jun,5.1
LNS14000003,2002,M07,2002 Jul,5.2
LNS14000003,2002,M08,2002 Aug,5.1
LNS14000003,2002,M09,2002 Sep,5.1
LNS14000003,2002,M10,2002 Oct,5.1
